Town,Restriction Type,Total Estimated length (m),Total Estimated spaces
Appledore,Bus Stop Clearway,72,4
Appledore,Disabled Parking,30,4
Appledore,Disabled Parking (Advisory),17,2
Appledore,Keep Clear Marking (TRO),53,8
Appledore,Loading Only,13,1
Appledore,No Waiting,1048,188
Appledore,No Waiting At Any Time,1923,336
Ashburton,Bus Stop Clearway,37,2
Ashburton,Disabled Parking,23,3
Ashburton,Disabled Parking (Advisory),7,1
Ashburton,Keep Clear Marking (TRO),38,6
Ashburton,Limited Waiting,196,38
Ashburton,Loading Only,12,1
Ashburton,No Loading At Any Time,678,114
Ashburton,No Waiting,238,39
Ashburton,No Waiting At Any Time,4686,820
Ashburton,Permit Holders Only,5,1
Ashprington,No Waiting At Any Time,495,89
Aveton Gifford,Keep Clear Marking (TRO),9,1
Aveton Gifford,No Waiting,31,5
Aveton Gifford,No Waiting At Any Time,1264,222
Axminster,Bus Stop Clearway,45,3
Axminster,Disabled Parking,18,2
Axminster,Disabled Parking (Advisory),4,1
Axminster,Keep Clear Marking (Advisory),24,4
Axminster,Keep Clear Marking (TRO),114,19
Axminster,Limited Waiting,273,52
Axminster,Loading Only,69,7
Axminster,No Waiting,2791,487
Axminster,No Waiting At Any Time,3667,636
Bampton,No Waiting,537,95
Bampton,No Waiting At Any Time,639,109
Bantham,No Waiting,494,89
Bantham,No Waiting At Any Time,456,81
Barnstaple,Bus Stop Clearway,118,8
Barnstaple,Clearway route,1736,317
Barnstaple,Disabled Parking,174,23
Barnstaple,Disabled Parking (Advisory),6,1
Barnstaple,Keep Clear Marking (TRO),215,36
Barnstaple,Limited Waiting,2553,494
Barnstaple,Loading Only,402,37
Barnstaple,No Loading,1808,322
Barnstaple,No Loading At Any Time,1606,283
Barnstaple,No Waiting,8398,1475
Barnstaple,No Waiting At Any Time,23700,4201
Barnstaple,Parking Place,224,36
Barnstaple,Pay & Display,237,45
Barnstaple,Residents Permit Parking,4274,836
Barnstaple,Taxi Bay,31,5
Battisborough Cross,No Waiting At Any Time,66,12
Beer,Disabled Parking,8,1
Beer,Limited Waiting,212,39
Beer,No Waiting,3123,559
Beer,No Waiting At Any Time,5862,1044
Beer,Public Service Vehicle Parking,19,1
Bere Alston,Bus Stop Clearway,11,1
Bere Alston,Disabled Parking,7,1
Bere Alston,Limited Waiting,35,7
Bere Alston,Loading Only,22,2
Bere Alston,No Waiting,198,33
Bere Alston,No Waiting At Any Time,699,122
Berrynarbor,Limited Waiting,17,2
Berrynarbor,No Loading,22,4
Berrynarbor,No Waiting,22,3
Berrynarbor,No Waiting At Any Time,407,72
Bickington,Bus Stop Clearway,187,12
Bickington,Limited Waiting,29,6
Bickington,No Waiting At Any Time,1076,190
Bideford,Bus Stop Clearway,175,12
Bideford,Disabled Parking,87,7
Bideford,Emergency Service Vehicles,20,4
Bideford,Keep Clear Marking (TRO),90,14
Bideford,Limited Waiting,2174,416
Bideford,Loading Only,124,12
Bideford,No Loading,1498,268
Bideford,No Loading At Any Time,714,124
Bideford,No Waiting,3620,632
Bideford,No Waiting At Any Time,10566,1861
Bideford,Pay & Display,406,81
Bideford,Residents Permit Parking,292,56
Bigbury On Sea,No Waiting,981,176
Bigbury On Sea,No Waiting At Any Time,2060,366
Bishops Tawton,Bus Stop Clearway,23,1
Bishops Tawton,Disabled Parking,5,1
Bishops Tawton,No Waiting At Any Time,227,37
Bishopsteignton,Disabled Parking,6,1
Bishopsteignton,Keep Clear Marking (TRO),57,9
Bishopsteignton,Limited Waiting,31,6
Bishopsteignton,No Waiting At Any Time,1020,174
Blackawton,Keep Clear Marking (TRO),25,4
Blackawton,No Waiting At Any Time,62,10
Bovey Tracey,Bus Stop Clearway,7,1
Bovey Tracey,Keep Clear Marking (TRO),25,4
Bovey Tracey,Limited Waiting,252,45
Bovey Tracey,Loading Only,11,1
Bovey Tracey,No Loading,8,1
Bovey Tracey,No Waiting,362,60
Bovey Tracey,No Waiting At Any Time,3772,658
Bow,No Waiting,429,77
Bow,No Waiting At Any Time,1276,225
Bradninch,No Waiting At Any Time,574,96
Braunton,Bus Stop Clearway,224,15
Braunton,Disabled Parking,19,2
Braunton,Keep Clear Marking (TRO),10,1
Braunton,Limited Waiting,156,30
Braunton,Loading Only,4,1
Braunton,No Loading,450,80
Braunton,No Waiting,331,58
Braunton,No Waiting At Any Time,8265,1469
Braunton,Taxi Bay,7,1
Bridgerule,Keep Clear Marking (TRO),23,4
Brixton,Keep Clear Marking (TRO),18,3
Brixton,No Waiting At Any Time,116,20
Broadclyst,Keep Clear Marking (TRO),38,6
Broadclyst,No Waiting At Any Time,1018,179
Buckfast,No Waiting,641,116
Buckfast,No Waiting At Any Time,491,88
Buckfastleigh,Bus Stop Clearway,12,1
Buckfastleigh,Disabled Parking,27,4
Buckfastleigh,Keep Clear Marking (TRO),66,11
Buckfastleigh,Limited Waiting,109,20
Buckfastleigh,Loading Only,44,6
Buckfastleigh,No Loading,12,2
Buckfastleigh,No Loading At Any Time,412,70
Buckfastleigh,No Waiting,1544,270
Buckfastleigh,No Waiting At Any Time,3222,559
Buckland In The Moor,No Waiting At Any Time,634,115
Buckland Monachorum,No Waiting At Any Time,10,1
Budleigh Salterton,Bus Stop Clearway,23,1
Budleigh Salterton,Limited Waiting,384,73
Budleigh Salterton,No Loading At Any Time,114,19
Budleigh Salterton,No Waiting,43,7
Budleigh Salterton,No Waiting At Any Time,7004,1236
Budleigh Salterton,Pay & Display,246,49
Budleigh Salterton,Public Service Vehicle Parking,14,1
Budleigh Salterton,Taxi Bay,8,1
Chagford,Bus Stop Clearway,26,2
Chagford,Disabled Parking,44,7
Chagford,Keep Clear Marking (Advisory),25,4
Chagford,Limited Waiting,182,34
Chagford,Loading Only,53,5
Chagford,No Loading At Any Time,108,19
Chagford,No Waiting At Any Time,1833,325
Chagford,Permit Holders Only,12,2
Challaborough,No Waiting At Any Time,137,24
Chawleigh,No Waiting At Any Time,38,6
Cheriton Bishop,No Waiting At Any Time,21,3
Chillington,Bus Stop Clearway,13,1
Chillington,Limited Waiting,17,3
Chillington,No Waiting At Any Time,119,18
Chivenor,No Waiting At Any Time,738,130
Christow,Keep Clear Marking (TRO),32,5
Chudleigh,Bus Stop Clearway,74,6
Chudleigh,Disabled Parking,21,2
Chudleigh,Disabled Parking (Advisory),7,1
Chudleigh,Keep Clear Marking (TRO),31,5
Chudleigh,Limited Waiting,98,19
Chudleigh,Loading Only,37,3
Chudleigh,No Waiting At Any Time,2986,516
Chudleigh Knighton,Keep Clear Marking (TRO),33,5
Clovelly,Loading Only,15,1
Clovelly,No Loading At Any Time,385,68
Clovelly,No Waiting At Any Time,416,72
Clyst Honiton,Bus Stop Clearway,13,1
Clyst Honiton,Clearway route,923,167
Clyst Honiton,No Waiting,31,5
Clyst Honiton,No Waiting At Any Time,2801,502
Clyst St George,No Waiting At Any Time,95,16
Clyst St Mary,Limited Waiting,70,13
Clyst St Mary,No Waiting,117,21
Clyst St Mary,No Waiting At Any Time,1323,230
Cockwood,Keep Clear Marking (TRO),27,4
Cockwood,No Waiting At Any Time,226,39
Colyford,Keep Clear Marking (TRO),22,3
Colyton,Bus Stop Clearway,26,2
Colyton,Disabled Parking,12,1
Colyton,Keep Clear Marking (TRO),35,6
Colyton,No Waiting,550,99
Colyton,No Waiting At Any Time,933,156
Combe Martin,Bus Stop Clearway,32,2
Combe Martin,Disabled Parking,27,3
Combe Martin,Limited Waiting,110,20
Combe Martin,Loading Only,10,1
Combe Martin,No Loading At Any Time,32,5
Combe Martin,No Waiting,658,116
Combe Martin,No Waiting At Any Time,5398,953
Combe Martin,Parking Place,156,26
Combe Martin,Pay & Display,95,17
Combe Martin,Public Service Vehicle Parking,35,2
Copplestone,Disabled Parking,10,1
Copplestone,No Waiting At Any Time,748,128
Cornwood,Keep Clear Marking (TRO),26,4
Cornwood,Limited Waiting,9,1
Cranbrook,Permit Holders Only,5,1
Crediton,Bus Stop Clearway,108,7
Crediton,Disabled Parking,64,7
Crediton,Disabled Parking (Advisory),8,1
Crediton,Keep Clear Marking (TRO),25,4
Crediton,Limited Waiting,729,137
Crediton,Loading Only,67,5
Crediton,No Loading,1059,185
Crediton,No Loading At Any Time,53,9
Crediton,No Waiting,2484,436
Crediton,No Waiting At Any Time,9671,1700
Crediton,Taxi Bay,6,1
Cross Roads,Bus Stop Clearway,15,1
Cross Roads,Keep Clear Marking (TRO),26,4
Cross Roads,No Waiting At Any Time,85,14
Croyde,Clearway route,1035,187
Croyde,Limited Waiting,109,22
Croyde,No Waiting At Any Time,6024,1074
Cullompton,Bus Stop Clearway,19,1
Cullompton,Disabled Parking,34,4
Cullompton,Keep Clear Marking (TRO),62,11
Cullompton,Limited Waiting,212,38
Cullompton,Loading Only,62,6
Cullompton,No Loading,81,14
Cullompton,No Loading At Any Time,150,26
Cullompton,No Waiting,256,42
Cullompton,No Waiting At Any Time,4629,811
Cullompton,Permit Holders Only,12,2
Dartington,No Waiting At Any Time,771,131
Dartmouth,Bus Stop Clearway,108,8
Dartmouth,Disabled Parking,34,4
Dartmouth,Emergency Service Vehicles,11,2
Dartmouth,Keep Clear Marking (TRO),81,13
Dartmouth,Limited Waiting,1501,293
Dartmouth,Loading Only,32,3
Dartmouth,No Loading,507,88
Dartmouth,No Loading At Any Time,57,9
Dartmouth,No Waiting,778,133
Dartmouth,No Waiting At Any Time,13194,2341
Dartmouth,Permit Holders Only,30,5
Dartmouth,Prohibition of Motor Caravans,587,102
Dartmouth,Public Service Vehicle Parking,49,3
Dartmouth,Residents Permit Parking,90,16
Dartmouth,Taxi Bay,22,3
Dawlish,Bus Stop Clearway,105,6
Dawlish,Disabled Parking,88,10
Dawlish,Disabled Parking (Advisory),13,2
Dawlish,Keep Clear Marking (TRO),229,38
Dawlish,Limited Waiting,310,57
Dawlish,Loading Only,71,5
Dawlish,M/Cycle Parking,6,2
Dawlish,No Loading At Any Time,414,73
Dawlish,No Waiting,343,60
Dawlish,No Waiting At Any Time,10331,1821
Dawlish,Pay & Display,478,93
Dawlish,Public Service Vehicle Parking,30,2
Dawlish Warren,Limited Waiting,15,3
Dawlish Warren,No Waiting At Any Time,2279,409
Diptford,No Waiting At Any Time,152,26
Dittisham,No Waiting At Any Time,336,56
Doddiscombsleigh,Keep Clear Marking (TRO),62,10
Dousland,No Waiting At Any Time,556,101
Down Thomas,No Waiting At Any Time,2,1
Dunkeswell,No Waiting At Any Time,623,113
East,Bus Stop Clearway,0,1
East Allington,Keep Clear Marking (TRO),34,6
East Budleigh,No Waiting At Any Time,755,134
East Portlemouth,No Waiting At Any Time,1293,228
East The Water,Bus Stop Clearway,37,2
East The Water,Disabled Parking,7,1
East The Water,Keep Clear Marking (TRO),86,14
East The Water,No Loading,45,7
East The Water,No Waiting,575,101
East The Water,No Waiting At Any Time,3225,571
Ermington,Keep Clear Marking (TRO),26,4
Ermington,No Waiting At Any Time,52,9
Exeter,Bus Stop Clearway,1946,127
Exeter,Clearway route,9382,1701
Exeter,Disabled Parking,645,84
Exeter,Disabled Parking (Advisory),24,3
Exeter,Electric Vehicle Parking,94,19
Exeter,Emergency Service Vehicles,21,3
Exeter,Keep Clear Marking (TRO),756,122
Exeter,Limited Waiting,4509,828
Exeter,Loading Only,911,80
Exeter,M/Cycle Parking,59,27
Exeter,No Loading,12693,2246
Exeter,No Loading At Any Time,3659,632
Exeter,No Waiting,21935,3858
Exeter,No Waiting At Any Time,79609,14239
Exeter,Pay & Display,7646,1474
Exeter,Pay by Phone,61,6
Exeter,Permit Holders Only,269,47
Exeter,Public Service Vehicle Parking,290,20
Exeter,Residents Permit Parking,64306,12777
Exeter,Taxi Bay,80,14
Exminster,Bus Stop Clearway,41,3
Exminster,Keep Clear Marking (TRO),41,7
Exminster,Limited Waiting,30,5
Exminster,No Waiting At Any Time,2061,349
Exminster,Permit Holders Only,11,2
Exmouth,Bus Stop Clearway,273,19
Exmouth,Disabled Parking,335,47
Exmouth,Disabled Parking (Advisory),17,2
Exmouth,Keep Clear Marking (Advisory),76,13
Exmouth,Keep Clear Marking (TRO),171,29
Exmouth,Limited Waiting,1626,312
Exmouth,Loading Only,217,18
Exmouth,No Loading,54,9
Exmouth,No Loading At Any Time,469,80
Exmouth,No Waiting,1071,187
Exmouth,No Waiting At Any Time,33221,5909
Exmouth,Pay & Display,1467,371
Exmouth,Permit Holders Only,233,46
Exmouth,Prohibition of Motor Caravans,99,17
Exmouth,Taxi Bay,120,19
Exton,No Waiting At Any Time,270,46
Ford,No Waiting,53,9
Ford,No Waiting At Any Time,80,14
Fremington,Keep Clear Marking (TRO),43,7
Fremington,No Loading,49,8
Fremington,No Waiting,13,2
Fremington,No Waiting At Any Time,477,81
Fremington,Residents Permit Parking,92,17
Frithelstock,No Waiting At Any Time,92,15
Galmpton,No Waiting At Any Time,372,67
Georgeham,Keep Clear Marking (TRO),46,8
Georgeham,No Waiting,140,25
Georgeham,No Waiting At Any Time,288,51
Great Torrington,Bus Stop Clearway,100,7
Great Torrington,Disabled Parking,15,2
Great Torrington,Keep Clear Marking (TRO),30,5
Great Torrington,Limited Waiting,361,68
Great Torrington,Loading Only,57,4
Great Torrington,No Loading,462,79
Great Torrington,No Loading At Any Time,37,6
Great Torrington,No Waiting,2520,435
Great Torrington,No Waiting At Any Time,3833,671
Halberton,Bus Stop Clearway,38,2
Harbertonford,Disabled Parking,14,2
Harbertonford,Keep Clear Marking (TRO),61,10
Harbertonford,No Waiting At Any Time,235,37
Hartland,Keep Clear Marking (TRO),42,7
Hartland,Limited Waiting,88,17
Hartland,No Waiting At Any Time,536,96
Hatherleigh,Keep Clear Marking (TRO),55,9
Hatherleigh,Loading Only,36,3
Hatherleigh,No Waiting At Any Time,262,43
Hawkchurch,Keep Clear Marking (Advisory),37,6
Heathfield,Bus Stop Clearway,13,1
Heathfield,Keep Clear Marking (TRO),26,4
Heathfield,No Waiting,65,11
Heathfield,No Waiting At Any Time,138,25
Heybrook Bay,No Waiting At Any Time,354,63
Hillhead,No Waiting At Any Time,87,14
Holbeton,No Waiting,447,79
Holbeton,No Waiting At Any Time,279,51
Holne,No Waiting At Any Time,1,1
Holsworthy,Disabled Parking,8,1
Holsworthy,Disabled Parking (Advisory),7,1
Holsworthy,Keep Clear Marking (TRO),25,4
Holsworthy,Limited Waiting,195,39
Holsworthy,Loading Only,65,5
Holsworthy,No Loading,265,46
Holsworthy,No Loading At Any Time,17,2
Holsworthy,No Waiting,2321,412
Holsworthy,No Waiting At Any Time,4223,740
Honiton,Bus Stop Clearway,137,9
Honiton,Disabled Parking,26,3
Honiton,Keep Clear Marking (TRO),103,17
Honiton,Limited Waiting,562,107
Honiton,Loading Only,42,3
Honiton,No Loading,241,41
Honiton,No Loading At Any Time,28,5
Honiton,No Waiting,1546,273
Honiton,No Waiting At Any Time,12652,2242
Hope Cove,Limited Waiting,29,5
Hope Cove,No Waiting,524,91
Hope Cove,No Waiting At Any Time,525,92
Horrabridge,Keep Clear Marking (TRO),26,4
Horrabridge,No Waiting At Any Time,351,56
Ide,Keep Clear Marking (TRO),24,4
Ide,No Waiting,18,3
Ide,No Waiting At Any Time,681,120
Ilfracombe,Bus Stop Clearway,195,13
Ilfracombe,Disabled Parking,177,21
Ilfracombe,Keep Clear Marking (TRO),97,16
Ilfracombe,Limited Waiting,500,94
Ilfracombe,Loading Only,156,15
Ilfracombe,No Loading,1506,265
Ilfracombe,No Loading At Any Time,883,151
Ilfracombe,No Waiting,3275,573
Ilfracombe,No Waiting At Any Time,13673,2419
Ilfracombe,Pay & Display,477,93
Ilfracombe,Public Service Vehicle Parking,27,2
Ilsington,Keep Clear Marking (TRO),26,4
Instow,Bus Stop Clearway,61,4
